season,celebrity_name,predicted_final_rank,predicted_final_score,predicted_alpha_i,predicted_judge_pct,predicted_fan_pct,actual_placement
21,Bindi Irwin                ,1,,,0.25423750359110475,0.0,1
21,Carlos PenaVega            ,2,,,0.25423750359110475,0.0,4
21,Nick Carter                ,3,,,0.25423750359110475,0.0,2
21,Alek Skarlatos             ,4,,,0.23728748922668577,0.0,3
21,Alexa PenaVega             ,5,,,0.0,0.0,6
21,Andy Grammer               ,6,,,0.0,0.0,7
21,Chaka Khan                 ,7,,,0.0,0.0,13
21,Gary Busey                 ,8,,,0.0,0.0,10
21,Hayes Grier                ,9,,,0.0,0.0,8
21,Kim Zolciak-Biermann       ,10,,,0.0,0.0,11
21,Paula Deen                 ,11,,,0.0,0.0,9
21,Tamar Braxton              ,12,,,0.0,0.0,5
21,Victor Espinoza            ,13,,,0.0,0.0,12
22,Paige VanZant              ,1,,,0.340996970101012,0.0,2
22,Nyle DiMarco               ,2,,,0.3333325670462853,0.0,1
22,Ginger Zee                 ,3,,,0.3256704628527028,0.0,3
22,Antonio Brown              ,4,,,0.0,0.0,5
22,Doug Flutie                ,5,,,0.0,0.0,9
22,Geraldo Rivera             ,6,,,0.0,0.0,12
22,Jodie Sweetin              ,7,,,0.0,0.0,6
22,Kim Fields                 ,8,,,0.0,0.0,8
22,Marla Maples               ,9,,,0.0,0.0,10
22,Mischa Barton              ,10,,,0.0,0.0,11
22,Von Miller                 ,11,,,0.0,0.0,7
22,Wanya Morris               ,12,,,0.0,0.0,4
23,Laurie Hernandez           ,1,,,0.2584885858282496,0.0,1
23,James Hinchcliffe          ,2,,,0.25629755904896034,0.0,2
23,Calvin Johnson Jr.         ,3,,,0.25191616266698036,0.0,3
23,Jana Kramer                ,4,,,0.2332976924558098,0.0,4
23,Amber Rose                 ,5,,,0.0,0.0,9
23,Babyface                   ,6,,,0.0,0.0,11
23,Jake T. Austin             ,7,,,0.0,0.0,13
23,Marilu Henner              ,8,,,0.0,0.0,6
23,Maureen McCormick          ,9,,,0.0,0.0,8
23,Rick Perry                 ,10,,,0.0,0.0,12
23,Ryan Lochte                ,11,,,0.0,0.0,7
23,Terra Jole                 ,12,,,0.0,0.0,5
23,Vanilla Ice                ,13,,,0.0,0.0,10
24,Rashad Jennings            ,1,,,0.34393075361713155,0.0,1
24,Normani                    ,2,,,0.341039996323692,0.0,3
24,David Ross                 ,3,,,0.31502925005917637,0.0,2
24,Bonner Bolton              ,4,,,0.0,0.0,5
24,Charo                      ,5,,,0.0,0.0,11
24,Chris Kattan               ,6,,,0.0,0.0,12
24,Erika Jayne                ,7,,,0.0,0.0,9
24,Heather Morris             ,8,,,0.0,0.0,8
24,Mr. T                      ,9,,,0.0,0.0,10
24,Nancy Kerrigan             ,10,,,0.0,0.0,7
24,Nick Viall                 ,11,,,0.0,0.0,6
24,Simone Biles               ,12,,,0.0,0.0,4
25,Jordan Fisher              ,1,,,0.2557729554628947,0.0,1
25,Lindsey Stirling           ,2,,,0.2557729554628947,0.0,2
25,Frankie Muniz              ,3,,,0.24866694332774683,0.0,3
25,Drew Scott                 ,4,,,0.2397871457464638,0.0,4
25,Barbara Corcoran           ,5,,,0.0,0.0,13
25,Debbie Gibson              ,6,,,0.0,0.0,12
25,Derek Fisher               ,7,,,0.0,0.0,11
25,Nick Lachey                ,8,,,0.0,0.0,9
25,Nikki Bella                ,9,,,0.0,0.0,8
25,Sasha Pieterse             ,10,,,0.0,0.0,10
25,Terrell Owens              ,11,,,0.0,0.0,6
25,Vanessa Lachey             ,12,,,0.0,0.0,7
25,Victoria Arlen             ,13,,,0.0,0.0,5
26,Adam Rippon                ,1,,,0.3391812865497076,0.0,1
26,Josh Norman                ,2,,,0.3333333333333333,0.0,2
26,Tonya Harding              ,3,,,0.32748538011695905,0.0,3
26,Arike Ogunbowale           ,4,,,0.0,0.0,7
26,Chris Mazdzer              ,5,,,0.0,0.0,5
26,Jamie Anderson             ,6,,,0.0,0.0,10
26,Jennie Finch Daigle        ,7,,,0.0,0.0,6
26,Johnny Damon               ,8,,,0.0,0.0,9
26,Kareem Abdul-Jabbar        ,9,,,0.0,0.0,8
26,Mirai Nagasu               ,10,,,0.0,0.0,4
27,Evanna Lynch               ,1,,,0.2597402597402597,0.0,3
27,Milo Manheim               ,2,,,0.2597402597402597,0.0,2
27,Alexis Ren                 ,3,,,0.24675324675324675,0.0,4
27,Bobby Bones                ,4,,,0.23376623376623376,0.0,1
27,Danelle Umstead            ,5,,,0.0,0.0,12
27,DeMarcus Ware              ,6,,,0.0,0.0,7
27,Joe Amabile                ,7,,,0.0,0.0,6
27,John Schneider             ,8,,,0.0,0.0,8
27,Juan Pablo Di Pace         ,9,,,0.0,0.0,5
27,Mary Lou Retton            ,10,,,0.0,0.0,9
27,Nancy McKeon               ,11,,,0.0,0.0,11
27,Nikki Glaser               ,12,,,0.0,0.0,13
27,Tinashe                    ,13,,,0.0,0.0,10
28,Ally Brooke                ,1,,,0.2564102564102564,0.0,3
28,Kel Mitchell               ,2,,,0.25213675213675213,0.0,2
28,Hannah Brown               ,3,,,0.24786324786324787,0.0,1
28,Lauren Alaina              ,4,,,0.24358974358974358,0.0,4
28,James Van Der Beek         ,5,,,0.0,0.0,5
28,Karamo Brown               ,6,,,0.0,0.0,8
28,Kate Flannery              ,7,,,0.0,0.0,7
28,Lamar Odom                 ,8,,,0.0,0.0,10
28,Mary Wilson                ,9,,,0.0,0.0,12
28,Ray Lewis                  ,10,,,0.0,0.0,11
28,Sailor Brinkley-Cook       ,11,,,0.0,0.0,9
28,Sean Spicer                ,12,,,0.0,0.0,6
29,Justina Machado            ,1,,,0.25316455696202533,0.0,4
29,Kaitlyn Bristowe           ,2,,,0.25316455696202533,0.0,1
29,Nev Schulman               ,3,,,0.25316455696202533,0.0,2
29,Nelly                      ,4,,,0.24050632911392406,0.0,3
29,AJ McLean                  ,5,,,0.0,0.0,7
29,Anne Heche                 ,6,,,0.0,0.0,13
29,Carole Baskin              ,7,,,0.0,0.0,14
29,Charles Oakley             ,8,,,0.0,0.0,15
29,Chrishell Stause           ,9,,,0.0,0.0,8
29,Jeannie Mai                ,10,,,0.0,0.0,9
29,Jesse Metcalfe             ,11,,,0.0,0.0,12
29,Johnny Weir                ,12,,,0.0,0.0,6
29,Monica Aldama              ,13,,,0.0,0.0,10
29,Skai Jackson               ,14,,,0.0,0.0,5
29,Veron Davis                ,15,,,0.0,0.0,11
30,Iman Shumpert              ,1,,,0.25477707006369427,0.0,1
30,JoJo Siwa                  ,2,,,0.25477707006369427,0.0,2
30,Amanda Kloots              ,3,,,0.2484076433121019,0.0,4
30,Cody Rigsby                ,4,,,0.24203821656050956,0.0,3
30,Brian Austin Green         ,5,,,0.0,0.0,13
30,Christine Chiu             ,6,,,0.0,0.0,14
30,Jimmie Allen               ,7,,,0.0,0.0,7
30,Kenya Moore                ,8,,,0.0,0.0,10
30,Martin Kove                ,9,,,0.0,0.0,15
30,Matt James                 ,10,,,0.0,0.0,12
30,Melanie C                  ,11,,,0.0,0.0,11
30,Melora Hardin              ,12,,,0.0,0.0,6
30,"Mike ""The Miz"" Mizanin ",13,,,0.0,0.0,9
30,Olivia Jade                ,14,,,0.0,0.0,8
30,Suni Lee                   ,15,,,0.0,0.0,5
31,Charli D'Amelio            ,1,,,0.2564102564102564,0.0,1
31,Gabby Windey               ,2,,,0.2564102564102564,0.0,2
31,Shangela                   ,3,,,0.24358974358974358,0.0,4
31,Wayne Brady                ,4,,,0.24358974358974358,0.0,3
31,Cheryl Ladd                ,5,,,0.0,0.0,14
31,Daniel Durant              ,6,,,0.0,0.0,5
31,Heidi D'Amelio             ,7,,,0.0,0.0,8
31,Jason Lewis                ,8,,,0.0,0.0,16
31,Jessie James Decker        ,9,,,0.0,0.0,10
31,Jordin Sparks              ,10,,,0.0,0.0,9
31,Joseph Baena               ,11,,,0.0,0.0,11
31,Sam Champion               ,12,,,0.0,0.0,13
31,Selma Blair                ,13,,,0.0,0.0,12
31,Teresa Giudice             ,14,,,0.0,0.0,15
31,Trevor Donovan             ,15,,,0.0,0.0,6
31,Vinny Guadagnino           ,16,,,0.0,0.0,7
32,Jason Mraz                 ,1,,,0.20618556701030927,0.0,2
32,Xochitl Gomez              ,2,,,0.20618556701030927,0.0,1
32,Ariana Madix               ,3,,,0.2027491408934708,0.0,3
32,Charity Lawson             ,4,,,0.2027491408934708,0.0,4
32,Alyson Hannigan            ,5,,,0.18213058419243985,0.0,5
32,Adrian Peterson            ,6,,,0.0,0.0,11
32,Barry Williams             ,7,,,0.0,0.0,7
32,Harry Jowsey               ,8,,,0.0,0.0,6
32,Jamie Lynn Spears          ,9,,,0.0,0.0,13
32,Lele Pons                  ,10,,,0.0,0.0,8
32,Matt Walsh                 ,11,,,0.0,0.0,14
32,Mauricio Umansky           ,12,,,0.0,0.0,9
32,Mira Sorvino               ,13,,,0.0,0.0,10
32,Tyson Beckford             ,14,,,0.0,0.0,12
33,Chandler Kinney            ,1,,,0.20618556701030927,0.0,3
33,Joey Graziadei             ,2,,,0.2027491408934708,0.0,1
33,Stephen Nedoroscik         ,3,,,0.2027491408934708,0.0,4
33,Ilona Maher                ,4,,,0.1958762886597938,0.0,2
33,Danny Amendola             ,5,,,0.19243986254295534,0.0,5
33,Anna Delvey                ,6,,,0.0,0.0,12
33,Brooks Nader               ,7,,,0.0,0.0,9
33,Dwight Howard              ,8,,,0.0,0.0,6
33,Eric Roberts               ,9,,,0.0,0.0,10
33,Jenn Tran                  ,10,,,0.0,0.0,7
33,Phaedra Parks              ,11,,,0.0,0.0,8
33,Reginald VelJohnson        ,12,,,0.0,0.0,10
33,Tori Spelling              ,13,,,0.0,0.0,12
34,Alix Earle                 ,1,,,0.2031609129238783,0.0,2
34,Jordan Chiles              ,2,,,0.20090311797825097,0.0,3
34,Robert Irwin               ,3,,,0.20090311797825097,0.0,1
34,Dylan Efron                ,4,,,0.19864532303262358,0.0,4
34,Elaine Hendrix             ,5,,,0.19638752808699622,0.0,5
34,Andy Richter               ,6,,,0.0,0.0,7
34,Baron Davis                ,7,,,0.0,0.0,13
34,Corey Feldman              ,8,,,0.0,0.0,13
34,Danielle Fishel            ,9,,,0.0,0.0,8
34,Hilaria Baldwin            ,10,,,0.0,0.0,11
34,Jen Affleck                ,11,,,0.0,0.0,9
34,Lauren Jauregui            ,12,,,0.0,0.0,12
34,Scott Hoying               ,13,,,0.0,0.0,10
34,Whitney Leavitt            ,14,,,0.0,0.0,6
