season,week,method,celebrity_name,judge_total,bayes_vote_share,bayes_vote_share_sd,p_eliminated_mc,elim_after_week_true
4,2,percent,Billy Ray Cyrus,21.0,0.1355860084295272,0.0331693068146705,0.0,False
4,2,percent,Clyde Drexler,18.0,0.0979782566428184,0.0241437330842018,0.0,False
4,2,percent,Heather Mills,24.0,0.0903699025511741,0.0246084630489349,0.0,False
4,2,percent,Ian Ziering,22.0,0.1225475594401359,0.0401672013103961,0.0,False
4,2,percent,Joey Fatone,24.0,0.1034610569477081,0.0282783471047878,0.0,False
4,2,percent,John Ratzenberger,21.0,0.1203589811921119,0.032650988548994,0.0,False
4,2,percent,Laila Ali,27.0,0.1177778840065002,0.0301905795931816,0.0,False
4,2,percent,Leeza Gibbons,21.0,0.0551557727158069,0.0212651826441288,0.004,False
4,2,percent,Paulina Porizkova,21.0,0.0143708623945713,0.0042876531369984,0.8675,True
4,2,percent,Shandi Finnessey,20.0,0.0306132938712835,0.0108565306290984,0.1285,False
4,3,percent,Apolo Anton Ohno,23.0,0.1292017251253128,0.0364377498626709,0.0,False
4,3,percent,Billy Ray Cyrus,21.0,0.139761134982109,0.0349003374576568,0.0,False
4,3,percent,Clyde Drexler,16.0,0.0744933858513832,0.0202553924173116,0.013,False
4,3,percent,Heather Mills,24.0,0.0831170529127121,0.0261704362928867,0.0,False
4,3,percent,Ian Ziering,24.0,0.1265330016613006,0.0331814438104629,0.0,False
4,3,percent,Joey Fatone,24.0,0.129710242152214,0.0343722105026245,0.0,False
4,3,percent,John Ratzenberger,20.0,0.1492356806993484,0.0397025644779205,0.0,False
4,3,percent,Laila Ali,21.0,0.1298374533653259,0.0366694964468479,0.0,False
4,3,percent,Leeza Gibbons,24.0,0.0262620989233255,0.009908297099173,0.0,False
4,3,percent,Shandi Finnessey,21.0,0.0118481861427426,0.0036159241572022,0.987,True
4,4,percent,Apolo Anton Ohno,26.0,0.1354006677865982,0.0379738993942737,0.0,False
4,4,percent,Billy Ray Cyrus,21.0,0.1533086001873016,0.0391586534678936,0.0,False
4,4,percent,Clyde Drexler,15.0,0.052285261452198,0.0190298222005367,0.006,False
4,4,percent,Heather Mills,23.0,0.0624198205769062,0.0201172959059476,0.0,False
4,4,percent,Ian Ziering,24.0,0.1463010460138321,0.0358854457736015,0.0,False
4,4,percent,Joey Fatone,28.0,0.1299306750297546,0.035238828510046,0.0,False
4,4,percent,John Ratzenberger,16.0,0.1568723171949386,0.043917216360569,0.0,False
4,4,percent,Laila Ali,21.0,0.1515924632549286,0.0360504053533077,0.0,False
4,4,percent,Leeza Gibbons,16.0,0.0118892705067992,0.0037942230701446,0.994,True
4,5,percent,Apolo Anton Ohno,30.0,0.149037092924118,0.0384870544075965,0.0,False
4,5,percent,Billy Ray Cyrus,17.0,0.1937834769487381,0.048091035336256,0.0,False
4,5,percent,Clyde Drexler,13.0,0.0183058828115463,0.0054289130493998,1.0,True
4,5,percent,Heather Mills,21.0,0.0344937145709991,0.0122976014390587,0.0,False
4,5,percent,Ian Ziering,24.0,0.157216265797615,0.0399717837572097,0.0,False
4,5,percent,Joey Fatone,25.0,0.1519509255886078,0.0372289791703224,0.0,False
4,5,percent,John Ratzenberger,18.0,0.1424700021743774,0.0429516769945621,0.0,False
4,5,percent,Laila Ali,28.0,0.1527426093816757,0.0375482253730297,0.0,False
4,6,percent,Apolo Anton Ohno,28.0,0.1763293147087097,0.0429819040000438,0.0,False
4,6,percent,Billy Ray Cyrus,21.0,0.2012145221233368,0.0451129041612148,0.0,False
4,6,percent,Heather Mills,23.0,0.0133378468453884,0.0042655714787542,0.9835,True
4,6,percent,Ian Ziering,24.0,0.1821221560239792,0.0444828830659389,0.0,False
4,6,percent,Joey Fatone,27.0,0.1698309183120727,0.0406471341848373,0.0,False
4,6,percent,John Ratzenberger,19.0,0.0869330912828445,0.0292247794568538,0.0165,False
4,6,percent,Laila Ali,28.0,0.1702321767807006,0.0415112972259521,0.0,False
4,7,percent,Apolo Anton Ohno,27.0,0.1975699365139007,0.043943628668785,0.0,False
4,7,percent,Billy Ray Cyrus,19.0,0.1549582928419113,0.0364740528166294,0.0,False
4,7,percent,Ian Ziering,27.0,0.2051384299993515,0.0387840531766414,0.0,False
4,7,percent,Joey Fatone,29.5,0.2143478989601135,0.0476855300366878,0.0,False
4,7,percent,John Ratzenberger,22.5,0.0257912650704383,0.0065382607281208,1.0,True
4,7,percent,Laila Ali,29.5,0.2021942287683487,0.0467392839491367,0.0,False
4,8,percent,Apolo Anton Ohno,29.0,0.265321284532547,0.0562094002962112,0.0,False
4,8,percent,Billy Ray Cyrus,19.0,0.0427909009158611,0.0105688599869608,1.0,True
4,8,percent,Ian Ziering,23.5,0.1614879965782165,0.0403184331953525,0.0,False
4,8,percent,Joey Fatone,27.5,0.253263920545578,0.0491078607738018,0.0,False
4,8,percent,Laila Ali,26.5,0.2771358788013458,0.0556378737092018,0.0,False
4,9,percent,Apolo Anton Ohno,29.5,0.3185669481754303,0.0512280985713005,0.0,False
4,9,percent,Ian Ziering,29.0,0.0483831539750099,0.0133719518780708,1.0,True
4,9,percent,Joey Fatone,30.0,0.327208012342453,0.054923441261053,0.0,False
4,9,percent,Laila Ali,30.0,0.3058418035507202,0.0519311055541038,0.0,False
4,10,percent,Apolo Anton Ohno,29.3332,0.337781548500061,0.1117113977670669,0.2835,False
4,10,percent,Joey Fatone,28.6665,0.3404029011726379,0.1113471090793609,0.3305,False
